datetime, milliseconds,ActiveExecuteThreadCount,CompletedCount,TotalRequestsCount,CurrentThroughput,CurrentDropRate
2017/11/15 18:45:36,1,10,0,0,0.0,0.0
2017/11/15 18:45:37,1002,10,72,149,0.0,0.0
2017/11/15 18:45:38,2002,10,138,210,62.4687656171914,0.42533936651583715
2017/11/15 18:45:39,3003,10,206,210,62.4687656171914,0.6363636363636364
2017/11/15 18:45:40,4003,10,278,210,66.2334416395901,0.6363636363636364
2017/11/15 18:45:41,5003,10,342,210,66.2334416395901,0.7009345794392523
2017/11/15 18:45:42,6003,11,408,210,64.96751624187905,0.7045454545454546
2017/11/15 18:45:43,7003,11,474,211,64.96751624187905,0.6492146596858639
2017/11/15 18:45:44,8004,11,539,211,65.96701649175412,0.6878048780487804
2017/11/15 18:45:45,9004,11,608,210,65.96701649175412,0.6863636363636363
2017/11/15 18:45:46,10004,12,683,211,70.96451774112944,0.6394230769230769
2017/11/15 18:45:47,11004,12,768,212,70.96451774112944,0.6177777777777778
2017/11/15 18:45:48,12004,13,849,213,82.0,0.599009900990099
2017/11/15 18:45:49,13004,13,929,212,82.0,0.6396396396396397
2017/11/15 18:45:50,14005,13,1006,212,80.0,0.6547085201793722
2017/11/15 18:45:51,15006,13,1083,213,80.0,0.6320754716981132
2017/11/15 18:45:52,16007,13,1170,210,80.0,0.6056338028169015
2017/11/15 18:45:53,17007,13,1254,213,80.0,0.5809523809523809
2017/11/15 18:45:54,18007,14,1341,214,87.0,0.5981735159817352
2017/11/15 18:45:55,19007,14,1437,213,87.0,0.5343137254901961
2017/11/15 18:45:56,20007,14,1544,214,101.94902548725638,0.4782608695652174
2017/11/15 18:45:57,21007,14,1631,214,101.94902548725638,0.5953488372093023
2017/11/15 18:45:58,22008,14,1715,213,84.5,0.5714285714285714
2017/11/15 18:45:59,23008,14,1806,214,84.5,0.5467980295566502
2017/11/15 18:46:00,24008,14,1896,213,91.45427286356822,0.5801886792452831
2017/11/15 18:46:01,25008,14,1996,214,91.45427286356822,0.49751243781094523
2017/11/15 18:46:02,26008,15,2083,215,94.0,0.6045454545454545
2017/11/15 18:46:03,27008,15,2179,215,94.0,0.5576036866359446
2017/11/15 18:46:04,28009,15,2282,215,98.0,0.5318181818181817
